week,league_name,spread_covered_cat,total_covered_cat,total_cat,draw_cat,draw_result_cat,home_win_last_10_cat,away_win_last_10_cat,game_count
2021-12-27,epl,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2021-12-27,epl,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2021-12-27,epl,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2021-12-27,epl,neither_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2021-12-27,epl,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2021-12-27,laliga,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2021-12-27,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2021-12-27,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-03,bundesliga,away_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,bundesliga,away_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-03,bundesliga,away_covered_spread,under_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,bundesliga,home_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,bundesliga,home_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,bundesliga,home_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,bundesliga,home_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,bundesliga,neither_covered_spread,over_covered,3 or more,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,epl,away_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,laliga,neither_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,laliga,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,laliga,neither_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-03,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,3
2022-01-03,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-03,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 > .25,away win last 10 > .25,1
2022-01-03,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,laliga,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 > .25,2
2022-01-03,ligue1,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,ligue1,neither_covered_spread,under_covered,3 or more,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,ligue1,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-03,ligue1,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-03,seriea,neither_covered_spread,over_covered,3 or more,draw +300 to +500,draw hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,seriea,neither_covered_spread,over_covered,3 or more,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,seriea,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 > .25,1
2022-01-03,seriea,neither_covered_spread,over_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-03,seriea,neither_covered_spread,over_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,5
2022-01-03,seriea,neither_covered_spread,under_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,seriea,neither_covered_spread,under_covered,less than 3,draw +300 to +500,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw didnt hit,home win last 10 < .25,away win last 10 < .25,1
2022-01-03,seriea,neither_covered_spread,under_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,2
2022-01-10,bundesliga,away_covered_spread,over_covered,3 or more,draw +300 to +500,draw didnt hit,home win last 10 > .25,away win last 10 < .25,1
2022-01-10,bundesliga,away_covered_spread,over_covered,less than 3,draw less than +300,draw hit,home win last 10 < .25,away win last 10 < .25,1
